date,open,high,low,close,volume,dividend,ratio
2018-01-02,,,,,,0.0,1
2018-01-03,,,,,,0.0,1
2018-01-04,,,,,,0.0,1
2018-01-05,,,,,,0.0,1
2018-01-08,,,,,,0.0,1
2018-01-09,,,,,,0.0,1
2018-01-10,,,,,,0.0,1
2018-01-11,,,,,,0.0,1
2018-01-12,,,,,,0.0,1
2018-01-16,,,,,,0.0,1
2018-01-17,0.154,0.1961,0.1507,0.1832,10023000.0,0.0,1
2018-01-18,0.1835,0.2374,0.1712,0.1955,8838400.0,0.0,1
2018-01-19,0.1942,0.1999,0.1522,0.1804,6949030.0,0.0,1
2018-01-22,0.1642,0.175,0.1425,0.1536,6522240.0,0.0,1
2018-01-23,0.1531,0.1617,0.1407,0.1472,6450150.0,0.0,1
2018-01-24,0.1461,0.2329,0.1404,0.2132,20395700.0,0.0,1
2018-01-25,0.2145,0.3137,0.2098,0.2943,29532100.0,0.0,1
2018-01-26,0.2921,0.311,0.2267,0.3,44487700.0,0.0,1
2018-01-29,0.2942,0.2943,0.2569,0.2805,203568992.0,0.0,1
2018-01-30,0.2806,0.2806,0.2084,0.2155,17125000.0,0.0,1
2018-01-31,0.2142,0.2407,0.198,0.2169,26505600.0,0.0,1
2018-02-01,0.2172,0.2389,0.1715,0.1917,29135600.0,0.0,1
2018-02-02,0.1913,0.1913,0.1347,0.1712,14172600.0,0.0,1
2018-02-05,0.1513,0.1531,0.1115,0.1171,13071100.0,0.0,1
2018-02-06,0.1174,0.1371,0.0964,0.1371,14127500.0,0.0,1
2018-02-07,0.1367,0.147,0.121,0.1216,16069800.0,0.0,1
2018-02-08,0.1222,0.1389,0.1222,0.1299,14773100.0,0.0,1
2018-02-09,0.1304,0.1473,0.1194,0.1421,16085500.0,0.0,1
2018-02-12,0.1175,0.1233,0.1109,0.1167,8611540.0,0.0,1
2018-02-13,0.1165,0.1177,0.1133,0.1148,6377880.0,0.0,1
2018-02-14,0.1146,0.1292,0.1144,0.1288,8532220.0,0.0,1
2018-02-15,0.1291,0.1513,0.1218,0.1421,15733200.0,0.0,1
2018-02-16,0.1419,0.1445,0.1319,0.1407,9728440.0,0.0,1
2018-02-20,0.1696,0.1713,0.1434,0.1442,10319600.0,0.0,1
2018-02-21,0.1437,0.1471,0.1242,0.128,9204880.0,0.0,1
2018-02-22,0.1279,0.1432,0.1208,0.1299,7852400.0,0.0,1
2018-02-23,0.1297,0.1349,0.1246,0.1307,7672910.0,0.0,1
2018-02-26,0.1139,0.132,0.1125,0.1256,7285370.0,0.0,1
2018-02-27,0.1253,0.1498,0.1213,0.1395,9884140.0,0.0,1
2018-02-28,0.1394,0.1489,0.1318,0.1457,12627500.0,0.0,1
2018-03-01,0.1463,0.2134,0.1457,0.2116,37765000.0,0.0,1
2018-03-02,0.2125,0.2125,0.171,0.1957,29473000.0,0.0,1
2018-03-05,0.215,0.2236,0.2028,0.2147,23577400.0,0.0,1
2018-03-06,0.2147,0.2179,0.1838,0.2018,19680000.0,0.0,1
2018-03-07,0.2033,0.208,0.1529,0.1688,16381000.0,0.0,1
2018-03-08,0.1685,0.1764,0.1313,0.1409,14515700.0,0.0,1
2018-03-09,0.1378,0.174,0.1202,0.1705,16600700.0,0.0,1
